"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Ja'Marr Chase","WR","CIN","9.2","5.5","26.8","16","36.3","9.7","15.1","15.9","7.8","49.9","23","BYE","17.6","38.1","13.9","19.4","14.7","20.6","20","339.5"
"2","Justin Jefferson","WR","MIN","13.9","21.3","17.1","17.5","12.2","BYE","17.9","15.5","18.1","7.3","11.1","3.7","13.4","28.7","16.8","31.4","13.2","6.9","15.6","266"
"3","Amon-Ra St. Brown","WR","DET","2.8","17.4","17","17.8","BYE","11.7","21.2","7.7","15.1","15","33.2","9.2","9.8","7.8","30.3","16","16","10.7","15.2","258.7"
"4","Brian Thomas Jr.","WR","JAC","12.7","10.4","7.3","18.9","20.7","4.2","19.6","13.5","5.2","2.2","11.1","BYE","16.7","12.6","27.5","23.7","20.4","13.8","14.1","240.5"
"5","Drake London","WR","ATL","2.5","14.4","15.7","9.4","27.4","16.4","15.3","5.4","9.7","13.7","7.6","BYE","12.8","9.5","12.8","8.4","14.1","35.7","13.6","230.8"
"6","Terry McLaurin","WR","WAS","2.7","5.2","18","14.7","11.4","20.3","12.8","15","14.9","13.8","1.5","18.7","23.3","BYE","22.8","14.5","1","16.2","13.3","226.8"
"7","Malik Nabers","WR","NYG","9.1","23.7","24.2","17.1","-","-","6.1","10.6","10.4","7.8","BYE","9.4","11.3","12.4","19.2","10.3","32.6","14.9","14.6","219.1"
"8","CeeDee Lamb","WR","DAL","11.1","17","6.7","20.1","8.9","12.6","BYE","33.1","12.2","5.4","14.6","11.8","4.9","18.4","22.1","14","-","-","14.2","212.9"
"9","Mike Evans","WR","TB","20.6","5.7","2.7","19.4","20.7","4.4","9","-","-","-","BYE","9.3","21.8","8.9","32.4","9.4","25.7","13.4","14.5","203.4"
"10","Jaxon Smith-Njigba","WR","SEA","2.9","17.7","5.4","9.1","11.1","7.8","3.8","9.9","33.5","BYE","16.8","16.7","9.9","17.1","13.3","20","4.7","3.3","11.9","203"
"11","Garrett Wilson","WR","NYJ","9","8.2","11.8","4.6","22.6","20.7","10.6","13.8","25.5","6.6","3.8","BYE","6.6","14.9","13.1","8.4","14.1","7.1","11.8","201.4"
"12","Ladd McConkey","WR","LAC","12.4","3.6","5.9","15.2","BYE","6.3","7.1","26.1","8.9","6.2","15.3","11.3","16.2","-","14.3","11.7","25.4","14","12.5","199.9"
"13","Courtland Sutton","WR","DEN","5.8","3.1","10.3","13.5","4.2","13.3","0","13.1","19.8","16","11.3","25.7","13.2","BYE","10.7","7.5","14","18.3","11.8","199.8"
"14","Davante Adams","WR","LAR","8.4","21.5","6","-","-","BYE","4.5","7.4","18.6","6.1","10.2","-","15.1","21.4","38.3","16.3","7.2","17.8","14.2","198.8"
"15","Jerry Jeudy","WR","CLE","10","9.8","6.7","10.2","2.1","4","2.3","10.4","10.8","BYE","23.2","11.5","36","14.9","16.3","3","15.4","9.3","11.5","195.9"
"16","DJ Moore","WR","CHI","7.5","8.3","11.2","9.7","25","4","BYE","4.4","5.3","4.2","10.2","23.4","19.7","7.9","11","10.5","9.2","17.6","11.1","189.1"
"17","Tee Higgins","WR","CIN","-","-","5.4","9","24.8","11.2","16.2","-","-","-","25.3","BYE","15.4","3.3","17.3","15.8","34.6","7.3","15.5","185.6"
"18","A.J. Brown","WR","PHI","20.4","-","-","-","BYE","20.6","17.4","10.9","4.6","13.4","9","19.9","9.1","6.3","21","19.7","11.1","-","14.1","183.4"
"19","Jameson Williams","WR","DET","21.9","11.9","0.7","15","BYE","16.2","0.1","-","-","6.8","20.6","9.3","7.1","10.5","11.2","23.5","22","6.4","12.2","183.2"
"20","Jordan Addison","WR","MIN","5","-","-","21.4","5.1","BYE","8.1","3.2","13.6","3.9","13.6","26.2","7.4","35.3","9.8","12","15.9","0.5","12.1","181"
"21","Tyreek Hill","WR","MIA","22.5","5.1","5.5","6.2","9.9","BYE","1.8","10.2","10","10.2","15.6","7.3","17.3","23.1","4.6","10.4","15","3","10.5","177.7"
