player_display_name,recent_team,week,season,opponent_team,headshot_url,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,target_share,receptions,receiving_yards,receiving_tds,rb_points_allowed,rb_rank_allowed
Brandon Bolden,LV,15,2023,LAC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kqqwz35z9brhkzbs4bcn",8.5,8.5,2,25.0,1,0,,0,0.0,0,20.6,3.0
Brandon Bolden,LV,16,2023,KC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kqqwz35z9brhkzbs4bcn",2.0,2.0,0,0.0,0,0,,0,0.0,0,17.8,30.0
Brandon Bolden,LV,17,2023,IND,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kqqwz35z9brhkzbs4bcn",0.6,0.6,2,6.0,0,0,,0,0.0,0,23.7,21.0
Latavius Murray,BUF,1,2023,NYJ,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",1.7,2.7,2,8.0,0,2,0.051282052,1,9.0,0,22.8,32.0
Latavius Murray,BUF,2,2023,LV,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",9.1,11.1,6,22.0,1,2,0.055555556,2,9.0,0,20.8,20.0
Latavius Murray,BUF,3,2023,WAS,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",8.1,9.1,5,15.0,1,1,0.03125,1,6.0,0,23.4,2.0
Latavius Murray,BUF,4,2023,MIA,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",5.6,7.6,4,32.0,0,2,0.08,2,24.0,0,17.7,13.0
Latavius Murray,BUF,5,2023,JAX,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",0.7,1.7,2,6.0,0,1,0.027777778,1,1.0,0,17.8,11.0
Latavius Murray,BUF,6,2023,NYG,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",4.5,4.5,12,45.0,0,0,,0,0.0,0,21.8,5.0
Latavius Murray,BUF,7,2023,NE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",2.8,4.8,4,8.0,0,2,0.051282052,2,20.0,0,17.8,15.0
Latavius Murray,BUF,8,2023,TB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",1.1,2.1,5,7.0,0,1,0.025641026,1,4.0,0,15.6,8.0
Latavius Murray,BUF,9,2023,CIN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",1.0,2.0,2,4.0,0,1,0.03125,1,6.0,0,19.6,10.0
Latavius Murray,BUF,10,2023,DEN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",12.9,14.9,9,68.0,1,3,0.12,2,1.0,0,24.7,25.0
Latavius Murray,BUF,11,2023,NYJ,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",3.5,3.5,10,35.0,0,0,,0,0.0,0,22.8,32.0
Latavius Murray,BUF,12,2023,PHI,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",4.8,7.8,9,30.0,0,5,0.10204082,3,18.0,0,16.7,1.0
Latavius Murray,BUF,14,2023,KC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",3.0,4.0,3,9.0,0,1,0.027777778,1,21.0,0,17.8,30.0
Latavius Murray,BUF,15,2023,DAL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",7.1,7.1,5,11.0,1,0,,0,0.0,0,17.3,26.0
Latavius Murray,BUF,17,2023,NE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",0.0,0.0,1,0.0,0,1,0.035714287,0,0.0,0,17.8,15.0
