player_display_name,recent_team,week,season,opponent_team,headshot_url,fantasy_points,fantasy_points_ppr,targets,target_share,receptions,receiving_yards,receiving_tds,te_points_allowed,te_rank_allowed
Marcedes Lewis,CHI,4,2023,DEN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",0.8,1.8,1,0.03125,1,8.0,0,13.3,9.0
Marcedes Lewis,CHI,7,2023,LV,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",1.6,2.6,1,0.03448276,1,16.0,0,8.9,18.0
Marcedes Lewis,CHI,11,2023,DET,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",0.0,0.0,1,0.045454547,0,0.0,0,10.7,23.0
Marcedes Lewis,CHI,14,2023,DET,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",0.4,1.4,1,0.033333335,1,4.0,0,10.7,23.0
Marcedes Lewis,CHI,16,2023,ARI,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",6.1,7.1,1,0.04347826,1,1.0,1,8.9,13.0
Jimmy Graham,NO,3,2023,GB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",6.8,7.8,1,0.029411765,1,8.0,1,10.2,21.0
Jimmy Graham,NO,5,2023,NE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",0.0,0.0,1,0.04,0,0.0,0,7.6,12.0
Jimmy Graham,NO,13,2023,DET,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",6.6,7.6,1,0.03448276,1,6.0,1,10.7,23.0
Jimmy Graham,NO,14,2023,CAR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",7.6,9.6,2,0.09090909,2,16.0,1,8.7,24.0
Jimmy Graham,NO,15,2023,NYG,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",6.9,8.9,2,0.071428575,2,9.0,1,8.3,22.0
Zach Ertz,ARI,1,2023,WAS,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",2.1,8.1,10,0.33333334,6,21.0,0,8.1,2.0
Zach Ertz,ARI,2,2023,NYG,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",5.6,11.6,8,0.27586207,6,56.0,0,8.3,22.0
Zach Ertz,ARI,3,2023,DAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",0.6,2.6,2,0.0952381,2,6.0,0,8.0,29.0
Zach Ertz,ARI,4,2023,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",5.3,11.3,10,0.24390244,6,53.0,0,8.3,14.0
Zach Ertz,ARI,5,2023,CIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",7.0,9.0,4,0.13333334,2,10.0,1,12.0,5.0
Zach Ertz,ARI,6,2023,LA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",2.2,4.2,5,0.13157895,2,22.0,0,,
Zach Ertz,ARI,7,2023,SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",1.9,4.9,4,0.121212125,3,19.0,0,9.5,10.0
Travis Kelce,KC,2,2023,JAX,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",8.6,12.6,9,0.225,4,26.0,1,10.9,28.0
Travis Kelce,KC,3,2023,CHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",12.9,19.9,8,0.21621622,7,69.0,1,11.1,20.0
