player_display_name,recent_team,week,season,opponent_team,headshot_url,fantasy_points,fantasy_points_ppr,targets,target_share,receptions,receiving_yards,receiving_tds,air_yards_share,wopr,wr_points_allowed,wr_rank_allowed
Julio Jones,PHI,7,2023,MIA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",0.3,1.3,1,0.033333335,1,3.0,0,0.009090909,0.056363635,28.1,14.0
Julio Jones,PHI,8,2023,WAS,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",6.8,7.8,2,0.057142857,1,8.0,1,0.07037037,0.13497354,35.4,27.0
Julio Jones,PHI,11,2023,KC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",0.5,2.5,2,0.0952381,2,5.0,0,-0.027210884,0.123809524,22.2,30.0
Julio Jones,PHI,12,2023,BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",0.0,1.0,3,0.10714286,1,0.0,0,-0.0051020407,0.15714286,24.5,26.0
Julio Jones,PHI,15,2023,SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",0.6,1.6,1,0.033333335,1,6.0,0,0.020338982,0.06423729,28.9,17.0
Julio Jones,PHI,16,2023,NYG,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",0.5,1.5,4,0.11111111,1,5.0,0,0.14213198,0.26615906,31.6,24.0
Julio Jones,PHI,17,2023,ARI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",15.4,17.4,2,0.08695652,2,34.0,2,0.12444445,0.2175459,27.1,19.0
Julio Jones,PHI,18,2023,NYG,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",1.3,3.3,4,0.121212125,2,13.0,0,0.16109422,0.29458413,31.6,24.0
Julio Jones,PHI,19,2023,TB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",2.2,5.2,3,0.09375,3,22.0,0,0.08661418,0.20125492,30.8,2.0
Randall Cobb,NYJ,1,2023,BUF,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",0.0,0.0,1,0.055555556,0,0.0,0,0.13333334,0.17666666,24.5,26.0
Randall Cobb,NYJ,2,2023,DAL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",0.0,0.0,1,0.04,0,0.0,0,0.056603774,0.099622644,24.5,29.0
Randall Cobb,NYJ,3,2023,NE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",1.2,2.2,2,0.071428575,1,12.0,0,0.0375,0.13339286,27.7,31.0
Randall Cobb,NYJ,4,2023,KC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",0.8,2.8,4,0.102564104,2,8.0,0,0.082474224,0.21157812,22.2,30.0
Randall Cobb,NYJ,5,2023,DEN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",0.0,0.0,1,0.03846154,0,0.0,0,0.038674034,0.08476413,24.9,1.0
Randall Cobb,NYJ,6,2023,PHI,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",2.0,2.0,3,0.09090909,0,0.0,0,0.08494209,0.1958231,36.6,13.0
Randall Cobb,NYJ,14,2023,HOU,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",7.5,8.5,1,0.028571429,1,15.0,1,0.025531914,0.060729485,26.9,6.0
Randall Cobb,NYJ,15,2023,MIA,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",0.0,0.0,3,0.09090909,0,0.0,0,0.25429553,0.3143705,28.1,14.0
Randall Cobb,NYJ,18,2023,NE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",0.4,1.4,1,0.055555556,1,4.0,0,0.0067114094,0.08803132,27.7,31.0
Marvin Jones,DET,1,2023,KC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciy9sxefmcnwjw7ln3h2",-1.2,0.8,6,0.1875,2,8.0,0,0.23041475,0.44254032,22.2,30.0
Marvin Jones,DET,4,2023,GB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciy9sxefmcnwjw7ln3h2",0.0,0.0,1,0.037037037,0,0.0,0,0.04519774,0.08719397,27.1,12.0
Marvin Jones,DET,5,2023,CAR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciy9sxefmcnwjw7ln3h2",2.2,4.2,2,0.074074075,2,22.0,0,0.10240964,0.18279786,22.5,21.0
Marvin Jones,DET,6,2023,TB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciy9sxefmcnwjw7ln3h2",0.5,1.5,1,0.024390243,1,5.0,0,0.01754386,0.048866067,30.8,2.0
Adam Thielen,CAR,1,2023,ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",1.2,3.2,2,0.06451613,2,12.0,0,0.039473683,0.12440577,22.6,10.0
Adam Thielen,CAR,2,2023,NO,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",13.4,20.4,9,0.29032257,7,54.0,1,0.27962086,0.6312185,25.4,18.0
Adam Thielen,CAR,3,2023,SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",20.5,31.5,14,0.24561404,11,145.0,1,0.2955032,0.5752733,28.9,17.0
Adam Thielen,CAR,4,2023,MIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",8.2,15.2,8,0.2580645,7,76.0,0,0.49,0.73009676,30.8,22.0
Adam Thielen,CAR,5,2023,DET,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",16.7,27.7,13,0.37142858,11,107.0,1,0.3553719,0.8059032,32.4,8.0
Adam Thielen,CAR,6,2023,MIA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",17.5,28.5,13,0.37142858,11,115.0,1,0.42105263,0.8518797,28.1,14.0
Adam Thielen,CAR,8,2023,HOU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",7.2,15.2,11,0.3548387,8,72.0,0,0.26530612,0.71797234,26.9,6.0
Adam Thielen,CAR,9,2023,IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",2.9,7.9,6,0.16216215,5,29.0,0,0.18709677,0.37421098,25.5,11.0
Adam Thielen,CAR,10,2023,CHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",4.2,10.2,10,0.29411766,6,42.0,0,0.15789473,0.5517028,25.5,5.0
Adam Thielen,CAR,11,2023,DAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",7.4,15.4,11,0.42307693,8,74.0,0,0.46938777,0.9631868,24.5,29.0
Adam Thielen,CAR,12,2023,TEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",0.2,1.2,3,0.125,1,2.0,0,0.18987341,0.32041138,30.5,32.0
Adam Thielen,CAR,13,2023,TB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",2.5,5.5,6,0.23076923,3,25.0,0,0.24573378,0.5181675,30.8,2.0
